,0
0,7.374140072745439
1,19.941481544570635
2,14.323268994232112
3,18.82329360979452
4,20.132391679776312
5,18.228744903011126
6,14.541452005895746
7,17.72692397618477
8,18.75238413100384
9,18.774202432170206
10,13.341445441745769
11,19.466933494202234
12,10.014154513875384
13,17.192375597608873
14,11.705072854268531
15,12.086893124679886
16,15.114182411512779
17,16.232370346288892
18,15.86691380175231
19,13.106898704207367
20,18.659656351046795
21,14.006903627319847
22,17.606923319769773
23,16.603281466117068
24,17.03419291415274
25,18.965112567375883
26,18.937839690917926
27,11.055978394569227
28,17.03419291415274
29,13.663265383949627
30,10.67961269944946
31,10.712340151199006
32,13.548719302826221
33,17.225103049358417
34,9.675970845796755
35,13.521446426368266
36,12.250530383427611
37,16.134187991040257
38,19.07965864849929
39,17.486922663354775
40,18.69783837808793
41,16.532371987326385
42,15.921459554668218
43,18.866930212127247
44,13.505082700493494
45,11.841437236558301
46,7.870506424280201
47,20.51966652547926
48,10.799613355864459
49,9.032330961389041
50,17.994198165472717
51,16.29237067449639
52,11.045069243986045
53,14.09963140727689
54,18.441473339383165
55,9.375969204759262
56,7.886870150154974
57,8.3450544746486
58,17.72692397618477
59,11.62325422489467
